日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-12-31,'000001,上证指数,3050.124,3051.677,3030.5122,3036.3858,3040.0239,10.1001,0.3322,217429022
2019-12-30,'000001,上证指数,3040.0239,3041.3969,2983.3436,2998.1689,3005.0355,34.9884,1.1643,248066530
2019-12-27,'000001,上证指数,3005.0355,3036.1127,3003.6309,3006.8517,3007.3546,-2.3191,-0.0771,247102779
2019-12-26,'000001,上证指数,3007.3546,3007.3546,2980.3966,2981.2485,2981.8805,25.4741,0.8543,182440426
2019-12-25,'000001,上证指数,2981.8805,2988.2924,2970.6572,2980.4276,2982.6806,-0.8001,-0.0268,175654028
2019-12-24,'000001,上证指数,2982.6806,2983.8194,2960.6839,2965.8258,2962.7513,19.9293,0.6727,163030250
2019-12-23,'000001,上证指数,2962.7513,3009.338,2960.435,2999.0357,3004.9376,-42.1863,-1.4039,205716617
2019-12-20,'000001,上证指数,3004.9376,3027.4835,3002.2601,3019.6395,3017.0658,-12.1282,-0.402,215075755
2019-12-19,'000001,上证指数,3017.0658,3021.4176,3007.992,3017.153,3017.0444,0.0214,0.0007,208624264
2019-12-18,'000001,上证指数,3017.0444,3033.2337,3011.7207,3021.4657,3022.4219,-5.3775,-0.1779,244089691
2019-12-17,'000001,上证指数,3022.4219,3039.3834,2982.4956,2985.2619,2984.3925,38.0294,1.2743,293032254
2019-12-16,'000001,上证指数,2984.3925,2984.6414,2958.7064,2970.9694,2967.6764,16.7161,0.5633,211862119
2019-12-13,'000001,上证指数,2967.6764,2969.9809,2935.849,2937.7763,2915.6983,51.9781,1.7827,211978585
2019-12-12,'000001,上证指数,2915.6983,2926.3416,2913.4755,2926.3416,2924.4173,-8.719,-0.2981,151760804
2019-12-11,'000001,上证指数,2924.4173,2928.2564,2915.0008,2922.602,2917.3157,7.1016,0.2434,165541087
2019-12-10,'000001,上证指数,2917.3157,2919.2011,2902.7896,2908.9439,2914.4775,2.8382,0.0974,170123998
2019-12-09,'000001,上证指数,2914.4775,2919.5888,2905.2503,2914.4576,2912.0136,2.4639,0.0846,160796527
2019-12-06,'000001,上证指数,2912.0136,2912.0136,2894.7513,2902.278,2899.4685,12.5451,0.4327,134128878
2019-12-05,'000001,上证指数,2899.4685,2902.002,2885.0798,2886.5164,2878.1157,21.3528,0.7419,143163096
2019-12-04,'000001,上证指数,2878.1157,2882.4981,2869.4219,2876.9079,2884.6988,-6.5831,-0.2282,125543653
2019-12-03,'000001,上证指数,2884.6988,2884.8559,2857.3204,2869.8822,2875.8072,8.8916,0.3092,123778742
2019-12-02,'000001,上证指数,2875.8072,2888.8897,2870.2424,2874.4484,2871.9813,3.8259,0.1332,128755806
2019-11-29,'000001,上证指数,2871.9813,2892.3882,2858.5808,2885.9744,2889.6934,-17.7121,-0.6129,122612968
2019-11-28,'000001,上证指数,2889.6934,2909.8398,2883.4339,2902.3644,2903.1947,-13.5013,-0.465,119522468
2019-11-27,'000001,上证指数,2903.1947,2914.4865,2893.4175,2905.3959,2907.0602,-3.8655,-0.133,133862205
2019-11-26,'000001,上证指数,2907.0602,2915.0411,2897.9276,2912.5209,2906.1688,0.8914,0.0307,170004663
2019-11-25,'000001,上证指数,2906.1688,2906.6091,2880.6542,2885.6133,2885.2884,20.8804,0.7237,178587429
2019-11-22,'000001,上证指数,2885.2884,2925.0178,2873.99,2906.2433,2903.6379,-18.3495,-0.6319,158623365
2019-11-21,'000001,上证指数,2903.6379,2910.3608,2891.5314,2902.5529,2911.0534,-7.4155,-0.2547,123458607
2019-11-20,'000001,上证指数,2911.0534,2930.4929,2907.4229,2928.1068,2933.9908,-22.9374,-0.7818,137357530
2019-11-19,'000001,上证指数,2933.9908,2933.9908,2902.855,2904.2783,2909.2002,24.7906,0.8521,135417604
2019-11-18,'000001,上证指数,2909.2002,2911.3784,2884.0883,2889.5495,2891.3431,17.8571,0.6176,124433177
2019-11-15,'000001,上证指数,2891.3431,2917.8293,2891.2043,2911.35,2909.8697,-18.5266,-0.6367,135519463
2019-11-14,'000001,上证指数,2909.8697,2917.374,2899.6186,2907.7358,2905.2409,4.6288,0.1593,129145448
2019-11-13,'000001,上证指数,2905.2409,2913.8612,2893.9712,2913.0197,2914.8232,-9.5823,-0.3287,129765841
2019-11-12,'000001,上证指数,2914.8232,2918.303,2891.5105,2912.9956,2909.9746,4.8486,0.1666,129729154
2019-11-11,'000001,上证指数,2909.9746,2949.9619,2906.769,2949.9619,2964.1849,-54.2103,-1.8288,157916105
2019-11-08,'000001,上证指数,2964.1849,2998.7594,2962.8447,2993.9773,2978.7144,-14.5295,-0.4878,149742107
2019-11-07,'000001,上证指数,2978.7144,2988.955,2969.1201,2978.1531,2978.5955,0.1189,0.004,136952678
2019-11-06,'000001,上证指数,2978.5955,2995.5629,2969.7242,2992.0399,2991.5622,-12.9667,-0.4334,165263547
2019-11-05,'000001,上证指数,2991.5622,3008.3144,2968.0324,2977.7048,2975.4919,16.0703,0.5401,179891593
2019-11-04,'000001,上证指数,2975.4919,2983.0581,2964.576,2964.576,2958.1992,17.2927,0.5846,167248364
2019-11-01,'000001,上证指数,2958.1992,2959.833,2917.1455,2924.3402,2929.0561,29.1431,0.995,159907373
2019-10-31,'000001,上证指数,2929.0561,2946.7523,2923.5167,2944.8427,2939.3209,-10.2648,-0.3492,161571483
2019-10-30,'000001,上证指数,2939.3209,2953.2986,2934.8279,2949.4631,2954.176,-14.8551,-0.5029,158798110
2019-10-29,'000001,上证指数,2954.176,2979.0365,2954.176,2979.0365,2980.0498,-25.8738,-0.8682,166110058
2019-10-28,'000001,上证指数,2980.0498,2980.128,2956.9607,2958.686,2954.9327,25.1171,0.85,173731481
2019-10-25,'000001,上证指数,2954.9327,2958.2409,2920.5195,2940.4741,2940.9215,14.0112,0.4764,136860706
2019-10-24,'000001,上证指数,2940.9215,2953.0441,2927.0612,2944.0067,2941.6188,-0.6973,-0.0237,126540290
2019-10-23,'000001,上证指数,2941.6188,2957.2995,2934.6274,2952.9693,2954.3799,-12.7611,-0.4319,123812881
2019-10-22,'000001,上证指数,2954.3799,2954.6415,2934.3873,2945.6001,2939.6179,14.762,0.5022,117482048
2019-10-21,'000001,上证指数,2939.6179,2940.3246,2917.6884,2933.8969,2938.1413,1.4766,0.0503,132475107
2019-10-18,'000001,上证指数,2938.1413,2987.2035,2933.2424,2982.3417,2977.3342,-39.1929,-1.3164,149990678
2019-10-17,'000001,上证指数,2977.3342,2986.7191,2969.568,2979.9929,2978.7124,-1.3782,-0.0463,122527614
2019-10-16,'000001,上证指数,2978.7124,3010.4241,2975.9233,2992.6103,2991.0459,-12.3335,-0.4123,149885496
